1 (232)
10 (532)
12 (198)
13 (788)
14 (464)
15 (80)
16 (136)
17 (355)
18 (170)
19 (91)
2 (52)
20 (475)
21 (163)
22 (50)
24 (276)
25 (559)
27 (231)
28 (144)
29 (128)
3 (107)
30 (117)
31 (543)
32 (170)
33 (116)
34 (269)
35 (77)
36 (206)
37 (66)
38 (47)
39 (86)
4 (59)
40 (50)
41 (237)
43 (50)
45 (94)
47 (236)
48 (166)
49 (50)
50 (58)
51 (91)
52 (281)
53 (52)
55 (59)
58 (212)
59 (303)
60 (59)
61 (144)
62 (71)
65 (69)
66 (70)
67 (38)
68 (74)
69 (72)
7 (43)
70 (39)
72 (58)
73 (102)
77 (48)
78 (56)
79 (65)
8 (257)
81 (100)
83 (40)
85 (42)
87 (71)
9 (65)
1 10 (51)
1 13 (90)
1 14 (49)
1 24 (58)
1 25 (76)
1 31 (60)
1 34 (34)
1 36 (36)
1 41 (32)
10 12 (60)
10 13 (148)
10 14 (92)
10 17 (63)
10 18 (45)
10 20 (104)
10 24 (57)
10 25 (100)
10 28 (33)
10 31 (93)
10 32 (32)
10 34 (31)
10 36 (37)
10 41 (47)
10 47 (51)
10 52 (47)
10 59 (63)
12 13 (58)
12 14 (34)
12 25 (48)
12 31 (35)
12 52 (32)
13 14 (176)
13 16 (49)
13 17 (75)
13 18 (48)
13 19 (39)
13 20 (87)
13 21 (81)
13 24 (113)
13 25 (200)
13 28 (57)
13 30 (49)
13 31 (171)
13 32 (60)
13 33 (33)
13 34 (103)
13 35 (34)
13 36 (77)
13 39 (36)
13 41 (71)
13 45 (34)
13 47 (70)
13 48 (54)
13 52 (118)
13 58 (41)
13 59 (89)
13 61 (41)
14 17 (47)
14 20 (64)
14 21 (47)
14 24 (66)
14 25 (130)
14 31 (106)
14 32 (39)
14 34 (61)
14 36 (46)
14 41 (46)
14 47 (40)
14 52 (72)
14 59 (42)
16 31 (31)
17 20 (74)
17 25 (55)
17 27 (31)
17 31 (53)
17 52 (32)
17 59 (47)
18 31 (40)
19 25 (33)
20 25 (70)
20 27 (34)
20 31 (91)
20 47 (38)
20 58 (40)
20 59 (65)
20 61 (31)
21 25 (43)
21 31 (34)
24 25 (93)
24 31 (61)
24 34 (40)
24 36 (51)
24 47 (31)
24 52 (44)
25 28 (43)
25 30 (31)
25 31 (125)
25 32 (46)
25 34 (80)
25 35 (31)
25 36 (72)
25 41 (78)
25 45 (31)
25 47 (55)
25 48 (55)
25 52 (108)
25 58 (35)
25 59 (43)
28 31 (31)
29 31 (35)
3 13 (37)
31 32 (48)
31 34 (71)
31 36 (38)
31 41 (48)
31 47 (39)
31 48 (33)
31 52 (62)
31 58 (42)
31 59 (48)
31 61 (33)
31 73 (37)
34 52 (43)
36 52 (33)
41 52 (61)
47 59 (32)
8 10 (76)
8 12 (37)
8 13 (80)
8 14 (58)
8 17 (36)
8 20 (54)
8 25 (72)
8 31 (50)
8 52 (31)
1 13 25 (34)
10 13 14 (37)
10 13 25 (39)
13 14 24 (37)
13 14 25 (60)
13 14 31 (46)
13 14 34 (31)
13 14 52 (43)
13 24 25 (40)
13 25 31 (51)
13 25 34 (32)
13 25 36 (34)
13 25 52 (48)
14 25 31 (33)
