1 (4488)
100 (3056)
104 (3968)
11 (3268)
114 (2424)
12 (2684)
120 (4064)
122 (2404)
128 (3160)
13 (2320)
2 (3928)
23 (3376)
24 (5040)
29 (2160)
31 (3808)
36 (8200)
38 (6824)
41 (5880)
42 (2536)
5 (3796)
55 (3552)
56 (4864)
57 (3800)
6 (3292)
63 (2480)
66 (2384)
67 (5316)
70 (2304)
71 (5076)
79 (4744)
88 (4640)
9 (2460)
90 (8416)
94 (8216)
97 (7768)
1 104 (3152)
1 23 (2752)
1 31 (3688)
1 36 (4296)
1 38 (3008)
1 41 (4176)
1 56 (2848)
1 67 (3780)
1 71 (3540)
1 79 (3032)
1 88 (2960)
1 90 (4488)
1 94 (4296)
1 97 (3960)
100 24 (2864)
100 36 (3056)
100 56 (2752)
100 90 (3056)
100 94 (3048)
100 97 (2864)
104 23 (3184)
104 31 (2432)
104 36 (3776)
104 38 (3480)
104 41 (3320)
104 56 (2112)
104 57 (2432)
104 67 (3664)
104 71 (3472)
104 79 (2608)
104 88 (2608)
104 90 (3968)
104 94 (3776)
104 97 (3560)
11 36 (3244)
11 38 (3220)
11 41 (2164)
11 90 (3268)
11 94 (3260)
11 97 (3064)
114 24 (2192)
114 36 (2400)
114 63 (2240)
114 90 (2424)
114 94 (2416)
12 36 (2492)
12 90 (2684)
12 94 (2492)
12 97 (2384)
120 2 (2848)
120 24 (2744)
120 36 (3968)
120 38 (3848)
120 42 (2224)
120 56 (2832)
120 67 (2412)
120 71 (2388)
120 90 (4064)
120 94 (3968)
120 97 (3976)
122 36 (2404)
122 41 (2276)
122 90 (2404)
122 94 (2404)
128 36 (3136)
128 38 (2968)
128 41 (2216)
128 56 (2400)
128 57 (2456)
128 67 (2352)
128 71 (2304)
128 90 (3160)
128 94 (3160)
128 97 (3104)
13 36 (2116)
13 90 (2320)
13 94 (2128)
13 97 (2224)
2 24 (3304)
2 29 (2160)
2 36 (3904)
2 38 (3816)
2 42 (2224)
2 66 (2240)
2 70 (2160)
2 90 (3928)
2 94 (3920)
2 97 (3808)
23 36 (3376)
23 38 (3272)
23 41 (3016)
23 56 (2112)
23 57 (2224)
23 67 (3232)
23 71 (3040)
23 79 (2128)
23 88 (2128)
23 90 (3376)
23 94 (3376)
23 97 (3080)
24 36 (4824)
24 38 (3552)
24 41 (2864)
24 42 (2176)
24 5 (2180)
