1 (4488)
104 (3968)
120 (4064)
2 (3928)
23 (3376)
24 (5040)
31 (3808)
36 (8200)
38 (6824)
41 (5880)
5 (3796)
55 (3552)
56 (4864)
57 (3800)
67 (5316)
71 (5076)
79 (4744)
88 (4640)
90 (8416)
94 (8216)
97 (7768)
1 31 (3688)
1 36 (4296)
1 41 (4176)
1 67 (3780)
1 71 (3540)
1 90 (4488)
1 94 (4296)
1 97 (3960)
2 36 (3904)
2 38 (3816)
2 90 (3928)
2 94 (3920)
2 97 (3808)
23 36 (3376)
23 90 (3376)
23 94 (3376)
24 36 (4824)
24 38 (3552)
24 90 (5040)
24 94 (4840)
24 97 (4688)
31 36 (3616)
31 41 (3544)
31 90 (3808)
31 94 (3608)
36 104 (3776)
36 120 (3968)
36 38 (6608)
36 41 (5664)
36 56 (4864)
36 57 (3800)
36 67 (5124)
36 71 (4884)
36 79 (4744)
36 88 (4640)
36 90 (8200)
36 94 (8192)
36 97 (7576)
38 104 (3480)
38 120 (3848)
38 41 (4568)
38 56 (3744)
38 57 (3528)
38 67 (4424)
38 71 (4184)
38 90 (6824)
38 94 (6632)
38 97 (6464)
41 57 (3432)
41 67 (3720)
41 71 (3528)
41 90 (5880)
41 94 (5688)
41 97 (5232)
5 36 (3740)
5 90 (3796)
5 94 (3748)
5 97 (3600)
55 90 (3552)
56 90 (4864)
56 94 (4864)
56 97 (4864)
57 90 (3800)
57 94 (3800)
57 97 (3680)
67 104 (3664)
67 71 (4226)
67 79 (3444)
67 88 (3408)
67 90 (5316)
67 94 (5124)
67 97 (4876)
71 104 (3472)
71 90 (5076)
71 94 (4884)
71 97 (4636)
79 88 (3776)
79 90 (4744)
79 94 (4744)
79 97 (4256)
88 90 (4640)
88 94 (4640)
88 97 (4152)
90 104 (3968)
90 120 (4064)
90 94 (8216)
90 97 (7768)
94 104 (3776)
94 120 (3968)
94 97 (7568)
97 104 (3560)
97 120 (3976)
1 31 36 (3496)
1 31 41 (3472)
1 31 90 (3688)
1 31 94 (3496)
1 36 41 (3984)
1 36 67 (3588)
1 36 90 (4296)
1 36 94 (4296)
1 36 97 (3768)
1 41 67 (3504)
1 41 90 (4176)
1 41 94 (3984)
1 41 97 (3648)
1 67 90 (3780)
1 67 94 (3588)
1 67 97 (3412)
1 71 90 (3540)
1 90 94 (4296)
1 90 97 (3960)
1 94 97 (3768)
2 36 38 (3792)
2 36 90 (3904)
2 36 94 (3896)
2 36 97 (3808)
2 38 90 (3816)
2 38 94 (3816)
2 38 97 (3696)
2 90 94 (3920)
2 90 97 (3808)
2 94 97 (3800)
23 36 90 (3376)
23 36 94 (3376)
23 90 94 (3376)
24 36 90 (4824)
24 36 94 (4816)
24 36 97 (4496)
24 38 90 (3552)
24 38 97 (3488)
24 90 94 (4840)
24 90 97 (4688)
24 94 97 (4488)
31 36 90 (3616)
31 36 94 (3608)
31 41 90 (3544)
31 90 94 (3608)
36 38 120 (3752)
36 38 41 (4352)
36 38 56 (3744)
36 38 57 (3528)
36 38 67 (4232)
36 38 71 (3992)
36 38 90 (6608)
36 38 94 (6608)
